Timestamp,Target,PacketSize,Hop,Host,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,20.164.37.45,128,19.|--,104.44.30.33,0.0%,10,333.5,334.1,333.5,335.2,0.5
2023-05-03 21:14:32.044651,20.164.37.45,128,20.|--,104.44.20.64,0.0%,10,332.6,333.6,331.7,344.5,3.9
2023-05-03 21:14:32.044651,20.164.37.45,128,21.|--,???,100.0,10,0.0,0.0,0.0,0.0,0.0

2023-05-03 21:14:32.044651,20.164.37.45,256,HOST:,endeavour,Loss%,Snt,Last,Avg,Best,Wrst,StDev
2023-05-03 21:14:32.044651,20.164.37.45,256,1.|--,192.168.0.1,0.0%,10,1.3,1.1,0.7,1.3,0.2
2023-05-03 21:14:32.044651,20.164.37.45,256,2.|--,10.248.0.2,0.0%,10,1.9,2.0,1.7,2.6,0.3
2023-05-03 21:14:32.044651,20.164.37.45,256,3.|--,45.71.39.254,0.0%,10,2.4,2.2,1.7,2.7,0.3
2023-05-03 21:14:32.044651,20.164.37.45,256,4.|--,172.16.201.180,0.0%,10,3.3,3.5,3.0,4.2,0.4
2023-05-03 21:14:32.044651,20.164.37.45,256,5.|--,172.18.9.4,0.0%,10,4.4,3.8,3.3,4.4,0.4
2023-05-03 21:14:32.044651,20.164.37.45,256,6.|--,172.18.9.6,0.0%,10,3.5,3.9,3.5,4.4,0.3
2023-05-03 21:14:32.044651,20.164.37.45,256,7.|--,67.73.160.1,0.0%,10,3.9,8.3,3.0,44.2,12.7
2023-05-03 21:14:32.044651,20.164.37.45,256,8.|--,200.189.207.210,0.0%,10,18.3,22.7,18.3,35.0,5.8
2023-05-03 21:14:32.044651,20.164.37.45,256,9.|--,4.68.68.86,0.0%,10,26.3,21.6,17.9,27.6,3.9
2023-05-03 21:14:32.044651,20.164.37.45,256,10.|--,104.44.235.212,0.0%,10,63.7,61.0,59.3,63.7,1.5
2023-05-03 21:14:32.044651,20.164.37.45,256,11.|--,104.44.33.155,0.0%,10,334.2,336.7,333.7,360.1,8.2
2023-05-03 21:14:32.044651,20.164.37.45,256,12.|--,104.44.19.15,0.0%,10,333.8,334.2,333.8,334.8,0.3
2023-05-03 21:14:32.044651,20.164.37.45,256,13.|--,104.44.16.47,70.0%,10,333.8,334.0,333.7,334.6,0.5
2023-05-03 21:14:32.044651,20.164.37.45,256,14.|--,104.44.29.8,0.0%,10,334.9,334.5,333.9,334.9,0.3
2023-05-03 21:14:32.044651,20.164.37.45,256,15.|--,104.44.29.144,0.0%,10,334.3,334.3,333.7,335.5,0.6
2023-05-03 21:14:32.044651,20.164.37.45,256,16.|--,104.44.29.233,0.0%,10,334.7,334.5,334.2,334.8,0.2
2023-05-03 21:14:32.044651,20.164.37.45,256,17.|--,104.44.29.152,0.0%,10,333.8,334.4,333.8,336.2,0.7
